,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,port blair,24.0,IN,1552018129.0,100.0,11.67,92.75,81.04,6.06
1,mataura,0.0,NZ,1552017609.0,48.0,-46.19,168.86,66.0,1.99
2,lebu,75.0,ET,1552014000.0,100.0,8.96,38.73,55.4,4.7
3,puerto ayora,0.0,EC,1552017970.0,99.0,-0.74,-90.35,78.79,12.66
4,cape town,0.0,ZA,1552018052.0,67.0,-33.93,18.42,62.01,18.34
6,chapais,90.0,CA,1552014000.0,70.0,49.78,-74.86,-0.41,8.05
7,cidreira,12.0,BR,1552018133.0,93.0,-30.17,-50.22,72.9,4.5
8,butaritari,76.0,KI,1552017964.0,100.0,3.07,172.79,81.76,9.75
9,morondava,48.0,MG,1552018133.0,100.0,-20.3,44.28,73.75,5.61
10,ancud,0.0,CL,1552017600.0,86.0,-41.87,-73.83,41.0,5.82
11,hithadhoo,0.0,MV,1552018133.0,100.0,-0.6,73.08,82.57,4.5
13,vanimo,20.0,PG,1552018134.0,100.0,-2.67,141.3,82.35,2.15
14,rikitea,80.0,PF,1552017959.0,96.0,-23.12,-134.97,81.45,16.58
15,vallenar,0.0,CL,1552018134.0,75.0,-28.58,-70.76,58.72,2.48
16,sisimiut,0.0,GL,1552017987.0,54.0,66.94,-53.67,-1.54,3.71
17,barrow,0.0,AR,1552018135.0,63.0,-38.31,-60.23,62.14,14.67
18,ndago,64.0,UG,1552018135.0,100.0,-0.97,29.98,55.62,2.15
20,khatanga,68.0,RU,1552018135.0,72.0,71.98,102.47,-2.89,2.93
21,albany,75.0,US,1552017981.0,56.0,42.65,-73.75,16.0,3.36
22,hermanus,80.0,ZA,1552017681.0,96.0,-34.42,19.24,60.01,5.06
23,ushuaia,20.0,AR,1552017600.0,100.0,-54.81,-68.31,42.8,10.29
24,labytnangi,44.0,RU,1552018136.0,53.0,66.66,66.39,-5.09,9.53
25,hobart,0.0,AU,1552018039.0,35.0,-42.88,147.33,71.6,11.41
26,te anau,0.0,NZ,1552018074.0,52.0,-45.41,167.72,60.57,3.38
27,vaini,0.0,IN,1552014000.0,31.0,15.34,74.49,77.0,3.36
28,south lake tahoe,75.0,US,1552018073.0,69.0,38.93,-119.98,39.99,4.94
29,yuli,12.0,NG,1552018137.0,44.0,10.52,9.86,65.97,3.6
30,namibe,68.0,AO,1552018137.0,100.0,-15.19,12.15,77.85,5.95
31,punta arenas,20.0,CL,1552017793.0,70.0,-53.16,-70.91,44.6,27.51
32,singaparna,44.0,ID,1552018137.0,75.0,-7.35,108.11,77.98,2.93
33,sao filipe,0.0,CV,1552018138.0,95.0,14.9,-24.5,70.29,18.48
36,nortelandia,12.0,BR,1552017864.0,76.0,-14.45,-56.8,77.62,6.4
37,banikoara,0.0,BJ,1552018138.0,66.0,11.3,2.44,70.51,2.15
38,saskylakh,12.0,RU,1552018138.0,69.0,71.97,114.09,-10.27,7.4
39,georgetown,0.0,GY,1552014000.0,94.0,6.8,-58.16,75.2,2.24
41,newport,0.0,GB,1552018091.0,86.0,51.59,-3.0,43.0,6.93
42,bodden town,40.0,KY,1552017604.0,94.0,19.28,-81.25,78.8,16.11
43,the valley,20.0,AI,1552017726.0,69.0,18.22,-63.06,77.0,11.41
44,carnarvon,0.0,ZA,1552018143.0,69.0,-30.97,22.13,58.36,15.46
45,colares,75.0,PT,1552018141.0,87.0,38.8,-9.45,55.4,12.75
46,saint-philippe,1.0,CA,1552018094.0,56.0,45.36,-73.48,12.99,4.7
47,martapura,20.0,ID,1552014000.0,74.0,-3.41,114.85,84.2,4.7
48,acapulco,5.0,MX,1552017000.0,88.0,16.86,-99.88,78.8,5.5
49,asandh,48.0,IN,1552018144.0,70.0,29.52,76.6,59.98,1.92
50,kaitangata,0.0,NZ,1552017920.0,61.0,-46.28,169.85,59.0,14.0
51,atuona,56.0,PF,1552018144.0,98.0,-9.8,-139.03,83.02,16.13
52,jamestown,32.0,AU,1552018145.0,33.0,-33.21,138.6,79.33,7.07
53,roald,92.0,NO,1552017902.0,100.0,62.58,6.12,32.0,11.41
54,thompson,75.0,CA,1552014000.0,55.0,55.74,-97.86,10.4,6.93
55,busselton,44.0,AU,1552017916.0,40.0,-33.64,115.35,80.01,8.52
56,duluth,1.0,US,1552018143.0,60.0,46.77,-92.13,10.99,3.36
57,hilo,75.0,US,1552018096.0,73.0,19.71,-155.08,72.0,9.17
58,new norfolk,0.0,AU,1552018039.0,35.0,-42.78,147.06,71.6,11.41
59,wajima,75.0,JP,1552014000.0,41.0,37.4,136.9,42.8,5.82
60,mar del plata,0.0,AR,1552018147.0,88.0,-46.43,-67.52,45.85,2.59
61,tasiilaq,36.0,GL,1552013400.0,45.0,65.61,-37.64,23.0,13.87
62,grand-santi,48.0,GF,1552018148.0,59.0,4.27,-54.38,82.48,4.94
63,bluff,44.0,AU,1552018148.0,46.0,-23.58,149.07,89.86,16.02
65,ostrovnoy,0.0,RU,1552018148.0,79.0,68.05,39.51,5.62,13.56
66,berlevag,90.0,NO,1552017000.0,78.0,70.86,29.09,17.6,9.17
68,torbay,90.0,CA,1552017743.0,85.0,47.66,-52.73,12.0,18.34
69,tuktoyaktuk,90.0,CA,1552016340.0,92.0,69.44,-133.03,19.4,11.41
70,airai,92.0,TL,1552018149.0,97.0,-8.93,125.41,69.79,2.15
71,port alfred,100.0,ZA,1552017875.0,96.0,-33.59,26.89,63.0,4.0
73,provideniya,68.0,RU,1552018150.0,100.0,64.42,-173.23,24.79,27.54
76,fili,0.0,NG,1552018150.0,87.0,8.43,4.5,74.92,6.4
77,guerrero negro,88.0,MX,1552018151.0,92.0,27.97,-114.04,59.53,7.18
78,coquimbo,0.0,CL,1552017600.0,93.0,-29.95,-71.34,59.0,4.7
79,la reforma,5.0,GT,1552017746.0,88.0,14.8,-91.82,77.0,2.04
80,east london,40.0,ZA,1552014000.0,88.0,-33.02,27.91,68.0,8.05
81,murashi,88.0,RU,1552018153.0,79.0,59.4,48.97,20.56,8.63
83,arman,20.0,RU,1552018153.0,74.0,59.7,150.17,18.76,3.49
84,ayan,0.0,TR,1552018153.0,68.0,40.67,33.6,15.84,1.7
85,verkhnechusovskiye gorodki,76.0,RU,1552018153.0,82.0,58.17,57.11,17.37,15.79
86,nome,90.0,US,1552018126.0,88.0,30.04,-94.42,66.99,9.17
87,nikolskoye,90.0,RU,1552018054.0,92.0,59.7,30.79,35.01,8.95
88,radishchevo,0.0,RU,1552018154.0,70.0,52.85,47.87,7.06,7.4
89,cabo san lucas,5.0,MX,1552017914.0,38.0,22.89,-109.91,75.2,10.29
91,bredasdorp,92.0,ZA,1552017681.0,96.0,-34.53,20.04,57.0,12.1
92,jardim,20.0,BR,1552018024.0,60.0,-21.48,-56.15,81.72,9.98
93,youkounkoun,0.0,GN,1552018155.0,45.0,12.53,-13.12,67.81,4.94
96,darhan,68.0,MN,1552018155.0,53.0,49.49,105.92,26.95,13.56
97,vanderhoof,48.0,CA,1552018021.0,79.0,54.02,-124.02,18.54,2.15
98,ketchikan,1.0,US,1552017360.0,69.0,55.34,-131.65,35.6,4.7
99,lodwar,92.0,KE,1552018156.0,46.0,3.12,35.6,76.27,2.71
100,broome,0.0,GB,1552018135.0,86.0,52.47,1.45,39.99,9.17
101,saldanha,8.0,PT,1552017973.0,87.0,41.42,-6.55,34.65,4.05
102,vardo,1.0,US,1552018148.0,50.0,39.62,-77.74,32.0,3.04
103,grand gaube,40.0,MU,1552018143.0,83.0,-20.01,57.66,81.0,6.93
104,qaanaaq,0.0,GL,1552018157.0,73.0,77.48,-69.36,-11.89,4.94
105,longyearbyen,0.0,NO,1552017000.0,58.0,78.22,15.63,-2.21,4.7
106,lena,90.0,US,1552018090.0,62.0,32.59,-89.61,57.99,8.05
107,lazaro cardenas,75.0,MX,1552016400.0,20.0,28.39,-105.62,73.4,9.64
108,kapaa,75.0,US,1552018102.0,83.0,22.08,-159.32,73.4,20.8
109,port elizabeth,1.0,US,1552018154.0,63.0,39.31,-74.98,32.0,3.36
110,upernavik,24.0,GL,1552018158.0,100.0,72.79,-56.15,8.95,14.12
111,kodiak,90.0,US,1552017892.0,92.0,39.95,-94.76,35.01,10.29
112,castro,0.0,CL,1552017600.0,86.0,-42.48,-73.76,41.0,5.82
113,dongsheng,88.0,CN,1552018159.0,76.0,29.72,112.52,50.71,4.16
114,tsabong,92.0,BW,1552018159.0,72.0,-26.02,22.4,69.57,3.71
116,solwezi,48.0,ZM,1552018161.0,96.0,-12.18,26.4,59.22,3.04
118,ostersund,88.0,SE,1552017100.0,85.0,63.18,14.64,21.2,6.93
119,leningradskiy,32.0,RU,1552017968.0,82.0,69.38,178.42,3.42,15.23
120,isangel,20.0,VU,1552014000.0,66.0,-19.55,169.27,87.8,6.93
121,lerwick,75.0,GB,1552017000.0,59.0,60.15,-1.15,37.4,12.75
122,lanzhou,75.0,CN,1552014000.0,55.0,36.06,103.82,37.4,11.18
123,yulara,0.0,AU,1552014000.0,10.0,-25.24,130.99,102.2,11.41
124,ferrol,92.0,ES,1552018143.0,87.0,43.48,-8.23,52.0,2.24
126,makinsk,24.0,KZ,1552018163.0,90.0,52.63,70.42,19.62,8.08
127,avarua,80.0,CK,1552017600.0,78.0,-21.21,-159.78,82.4,9.17
128,inta,76.0,RU,1552018163.0,75.0,66.04,60.13,14.71,9.53
129,maldonado,90.0,UY,1552017600.0,83.0,-34.91,-54.96,71.6,11.41
130,nsanje,92.0,MZ,1552018163.0,99.0,-16.92,35.26,70.51,3.38
131,goderich,0.0,CA,1552018114.0,89.0,43.74,-81.71,10.99,4.94
132,palmer,20.0,AU,1552018135.0,36.0,-34.85,139.16,81.0,11.41
133,port keats,0.0,AU,1552018164.0,76.0,-14.25,129.55,93.82,6.17
134,port macquarie,40.0,AU,1552017845.0,58.0,-31.43,152.91,82.4,13.87
135,kabalo,92.0,CD,1552018165.0,100.0,-6.05,26.92,68.17,7.52
136,kloulklubed,92.0,PW,1552018165.0,100.0,7.04,134.26,80.55,14.56
138,mogadishu,92.0,SO,1552017997.0,100.0,2.04,45.34,80.5,16.24
139,sechura,24.0,PE,1552018165.0,83.0,-5.56,-80.82,75.37,4.38
140,osinki,68.0,PL,1552018166.0,90.0,54.14,22.99,43.74,10.65
141,homer,90.0,US,1552018095.0,86.0,59.64,-151.54,37.99,5.82
142,jalu,0.0,LY,1552017999.0,71.0,29.03,21.55,45.9,3.04
143,gautier,75.0,US,1552018164.0,76.0,30.39,-88.61,57.99,4.7
145,codrington,75.0,AU,1552017973.0,69.0,-28.95,153.24,81.0,9.17
146,shelburne,1.0,CA,1552018081.0,84.0,44.08,-80.2,12.2,5.82
147,sibolga,48.0,ID,1552018145.0,83.0,1.74,98.78,78.12,2.48
149,nemuro,75.0,JP,1552014000.0,63.0,43.32,145.57,28.4,8.05
150,tutoia,92.0,BR,1552018168.0,99.0,-2.76,-42.27,74.97,2.15
152,winnemucca,75.0,US,1552017714.0,88.0,40.97,-117.74,39.2,2.37
153,lorengau,88.0,PG,1552018169.0,100.0,-2.02,147.27,80.41,4.16
154,chuy,48.0,UY,1552018066.0,94.0,-33.69,-53.46,74.56,8.19
155,boralday,90.0,KZ,1552017600.0,46.0,43.36,76.86,32.0,8.95
156,sola,40.0,NO,1552018087.0,64.0,58.89,5.65,39.2,39.15
157,hirara,75.0,JP,1552014000.0,82.0,24.8,125.28,64.4,12.75
158,paamiut,56.0,GL,1552018170.0,87.0,61.99,-49.67,32.62,9.42
159,tessalit,0.0,ML,1552018170.0,28.0,20.2,1.01,53.82,7.96
160,kanchanaburi,0.0,TH,1552018170.0,54.0,14.03,99.53,88.6,4.38
161,lima,75.0,PE,1552017905.0,83.0,-12.06,-77.04,73.99,8.05
162,pokhara,0.0,NP,1552018171.0,59.0,28.21,83.99,52.47,2.59
163,matara,12.0,PE,1552018171.0,96.0,-13.74,-72.9,39.6,1.92
164,mlonggo,20.0,ID,1552014000.0,66.0,-6.53,110.7,84.2,5.82
165,dayong,0.0,PH,1552018171.0,99.0,11.74,122.04,79.42,17.81
166,sitka,92.0,US,1552017606.0,85.0,37.17,-99.65,30.99,4.0
167,sawakin,0.0,SD,1552018172.0,100.0,19.1,37.33,56.52,5.17
168,zhigansk,64.0,RU,1552018172.0,65.0,66.77,123.37,10.75,3.71
170,road town,1.0,VG,1552018032.0,78.0,18.42,-64.62,75.99,8.05
171,nadvoitsy,92.0,RU,1552018172.0,89.0,63.89,34.27,23.08,6.4
172,gujrat,75.0,PK,1552017600.0,81.0,32.57,74.07,53.6,3.36
173,portales,1.0,US,1552017922.0,30.0,34.19,-103.33,63.0,14.99
174,portland,90.0,US,1552017645.0,80.0,45.52,-122.67,39.99,6.93
175,ilek,0.0,RU,1552018173.0,63.0,51.53,53.38,0.58,2.93
177,kuala terengganu,75.0,MY,1552014000.0,74.0,5.33,103.14,86.0,5.82
178,paka,0.0,HR,1552015800.0,57.0,45.29,18.06,50.0,9.17
179,vila velha,40.0,BR,1552018090.0,83.0,-3.71,-38.6,79.0,2.24
180,yellowknife,5.0,CA,1552018136.0,84.0,62.45,-114.38,3.99,6.93
181,lieksa,92.0,FI,1552018174.0,90.0,63.32,30.02,26.23,5.95
182,boone,90.0,US,1552018153.0,43.0,36.22,-81.67,37.99,3.49
183,griffith,36.0,AU,1552014000.0,23.0,-34.29,146.06,87.8,11.41
185,mujiayingzi,0.0,CN,1552018175.0,64.0,42.12,118.78,46.03,4.05
186,tommot,64.0,RU,1552018175.0,57.0,58.97,126.27,14.62,7.18
187,san patricio,8.0,PY,1552018176.0,83.0,-26.98,-56.83,78.79,5.73
188,ponta do sol,64.0,BR,1552018177.0,94.0,-20.63,-46.0,65.11,2.37
189,ulaanbaatar,40.0,MN,1552015800.0,58.0,47.92,106.92,28.4,13.42
190,jinchang,64.0,CN,1552018177.0,86.0,38.52,102.19,33.43,6.51
192,pacific grove,90.0,US,1552018152.0,87.0,36.62,-121.92,51.01,6.93
193,kizukuri,75.0,JP,1552017608.0,92.0,40.81,140.39,39.0,12.75
194,saint george,0.0,GR,1552017806.0,81.0,39.45,22.34,51.01,4.7
195,aberdeen,90.0,US,1552018167.0,78.0,45.47,-98.49,19.0,6.93
196,hofn,48.0,IS,1552018179.0,100.0,64.25,-15.21,27.85,14.12
197,tiksi,88.0,RU,1552018179.0,67.0,71.64,128.87,2.02,10.76
198,coihaique,0.0,CL,1552014000.0,70.0,-45.58,-72.07,44.6,4.7
199,pangnirtung,8.0,CA,1552018179.0,62.0,66.15,-65.72,-0.05,5.06
200,hasaki,40.0,JP,1552017942.0,37.0,35.73,140.83,55.0,10.29
201,ilulissat,12.0,GL,1552013400.0,42.0,69.22,-51.1,26.6,29.97
202,lashio,80.0,MM,1552018180.0,83.0,22.93,97.75,65.74,2.71
203,souillac,32.0,FR,1552017935.0,93.0,45.6,-0.6,48.0,3.36
204,severo-kurilsk,24.0,RU,1552018180.0,100.0,50.68,156.12,27.76,11.43
205,podgorenskiy,64.0,RU,1552018180.0,88.0,50.4,39.64,22.05,11.1
206,najran,5.0,SA,1552014000.0,30.0,17.54,44.22,55.4,2.15
207,blagoyevo,76.0,RU,1552018181.0,81.0,63.37,47.92,18.76,5.5
208,zeya,80.0,RU,1552018181.0,77.0,53.74,127.27,24.52,3.04
210,benguela,56.0,AO,1552018182.0,100.0,-12.58,13.4,79.51,3.38
211,dunedin,0.0,NZ,1552017685.0,57.0,-45.87,170.5,61.0,11.99
212,ballina,76.0,IE,1552018093.0,88.0,54.11,-9.15,45.0,4.0
214,danville,90.0,US,1552017873.0,55.0,36.59,-79.4,39.99,3.04
215,clyde river,90.0,CA,1552016280.0,83.0,70.47,-68.59,-4.01,20.8
216,verkhoyansk,36.0,RU,1552018183.0,66.0,67.55,133.39,1.62,3.38
217,pevek,44.0,RU,1552018183.0,86.0,69.7,170.27,2.29,2.59
218,san pedro,48.0,AR,1552017809.0,94.0,-33.68,-59.66,69.01,1.99
219,pisco,0.0,PE,1552017600.0,83.0,-13.71,-76.2,73.4,8.05
220,sturgeon bay,1.0,US,1552017869.0,60.0,44.83,-87.38,10.4,4.7
221,nikolayevsk-na-amure,0.0,RU,1552018186.0,70.0,53.14,140.72,27.27,7.18
222,ust-kuyga,12.0,RU,1552018186.0,85.0,70.0,135.55,2.07,5.06
224,suining,88.0,CN,1552018186.0,100.0,30.51,105.57,50.67,5.5
225,kulhudhuffushi,32.0,MV,1552018187.0,100.0,6.62,73.07,81.85,1.59
226,lapua,90.0,FI,1552018049.0,95.0,62.97,23.01,33.01,10.29
227,vao,92.0,EE,1552018187.0,98.0,59.1,26.19,39.87,11.99
228,labuan,75.0,BN,1552015800.0,83.0,5.28,115.24,82.4,5.82
229,guangyuan,92.0,CN,1552018170.0,81.0,32.43,105.86,52.0,2.04
230,port-cartier,5.0,CA,1552014000.0,49.0,50.03,-66.88,3.0,6.93
231,don sak,20.0,TH,1552018062.0,70.0,9.32,99.69,87.01,6.93
232,okhotsk,0.0,RU,1552018189.0,91.0,59.36,143.24,17.41,3.49
233,llanes,92.0,ES,1552018007.0,85.0,43.42,-4.75,54.0,2.48
234,tecoanapa,5.0,MX,1552017000.0,88.0,16.99,-99.26,78.8,2.48
235,whitehorse,20.0,CA,1552017771.0,48.0,60.72,-135.06,17.6,8.05
236,fairview,1.0,US,1552018175.0,42.0,40.81,-74.0,30.99,4.94
238,mvuma,0.0,ZW,1552018191.0,92.0,-19.28,30.53,58.45,8.08
239,yar-sale,64.0,RU,1552018192.0,81.0,66.83,70.83,5.71,11.77
241,avera,90.0,US,1552018156.0,32.0,33.19,-82.53,53.6,4.7
242,beringovskiy,88.0,RU,1552018194.0,95.0,63.05,179.32,24.61,25.52
243,arys,92.0,KZ,1552017600.0,66.0,42.43,68.8,50.0,4.47
244,husavik,20.0,CA,1552018172.0,82.0,50.56,-96.99,3.99,5.01
245,ribeira grande,92.0,PT,1552017968.0,94.0,38.52,-28.7,62.05,15.68
246,pelagiada,0.0,RU,1552017663.0,86.0,45.21,42.02,33.8,6.71
247,victoria,75.0,BN,1552015800.0,83.0,5.28,115.24,82.4,5.82
248,dikson,56.0,RU,1552018196.0,88.0,73.51,80.55,7.69,5.39
250,rio grande,8.0,BR,1552018197.0,92.0,-32.03,-52.1,75.42,9.64
251,beya,0.0,RU,1552018197.0,59.0,53.05,90.92,18.72,2.48
252,gornopravdinsk,56.0,RU,1552018197.0,67.0,60.06,69.92,17.82,13.44
253,conselheiro pena,24.0,BR,1552018198.0,84.0,-19.17,-41.47,74.47,3.6
254,shimanovsk,76.0,RU,1552018198.0,56.0,52.0,127.67,31.9,3.49
255,omboue,88.0,GA,1552018198.0,100.0,-1.57,9.26,82.17,4.72
256,wasilla,90.0,US,1552018175.0,51.0,61.58,-149.44,35.6,5.82
258,energetik,0.0,RU,1552018199.0,57.0,51.74,58.8,2.11,3.94
259,russell,40.0,AR,1552014000.0,77.0,-33.01,-68.8,68.0,12.75
260,nanortalik,56.0,GL,1552017961.0,91.0,60.14,-45.24,31.18,26.53
262,sambava,20.0,MG,1552018199.0,100.0,-14.27,50.17,77.8,3.49
263,itarema,64.0,BR,1552018200.0,96.0,-2.92,-39.92,75.6,3.15
264,semey,0.0,KZ,1552017600.0,92.0,50.41,80.25,8.6,8.95
265,itororo,88.0,BR,1552017947.0,90.0,-15.12,-40.07,72.31,3.15
266,lincoln,90.0,US,1552018070.0,86.0,40.8,-96.67,28.99,5.82
267,stubbekobing,92.0,DK,1552018146.0,93.0,54.89,12.04,43.0,11.99
268,alice springs,0.0,AU,1552014000.0,10.0,-23.7,133.88,93.2,9.17
269,seoul,0.0,KR,1552017600.0,21.0,37.57,126.98,53.6,5.82
270,santa ines,40.0,EC,1552017679.0,87.0,-0.82,-78.63,51.8,4.7
271,ponta delgada,40.0,PT,1552018173.0,100.0,37.73,-25.67,59.0,6.93
272,khandbari,56.0,NP,1552018202.0,66.0,27.38,87.21,26.77,0.69
273,arraial do cabo,12.0,BR,1552018202.0,87.0,-22.97,-42.02,81.09,15.68
274,nishihara,1.0,JP,1552017942.0,27.0,35.74,139.53,57.99,14.99
275,santa rosa,0.0,AR,1552017939.0,37.0,-36.62,-64.29,62.59,11.1
277,praia da vitoria,40.0,PT,1552017625.0,93.0,38.73,-27.07,60.01,15.57
278,vila franca do campo,40.0,PT,1552017933.0,100.0,37.72,-25.43,59.0,6.93
279,fortuna,0.0,ES,1552018162.0,46.0,38.18,-1.13,53.6,4.7
280,charters towers,64.0,AU,1552018205.0,82.0,-20.07,146.27,81.99,8.41
281,ljungby,92.0,SE,1552017624.0,100.0,56.83,13.94,42.8,17.22
282,haines junction,12.0,CA,1552018206.0,77.0,60.75,-137.51,1.89,2.04
283,quatre cocos,40.0,MU,1552018143.0,83.0,-20.21,57.76,81.0,6.93
284,sai buri,20.0,TH,1552014000.0,70.0,6.7,101.62,84.2,6.93
285,college,1.0,US,1552018112.0,85.0,64.86,-147.8,32.0,9.19
286,constitucion,75.0,MX,1552013100.0,12.0,23.99,-104.67,68.0,3.36
287,muros,20.0,ES,1552018206.0,93.0,42.77,-9.06,46.99,2.24
289,ambilobe,64.0,MG,1552018207.0,96.0,-13.19,49.05,73.84,2.48
290,lata,0.0,IN,1552018208.0,70.0,30.78,78.62,36.27,2.15
291,qasigiannguit,12.0,GL,1552013400.0,42.0,68.82,-51.19,26.6,29.97
292,xinmin,0.0,CN,1552014000.0,15.0,42.0,122.83,51.8,13.42
293,nizhniy kuranakh,64.0,RU,1552018208.0,57.0,58.84,125.49,14.53,6.96
295,qaqortoq,64.0,GL,1552018209.0,83.0,60.72,-46.03,32.26,23.73
296,santa vitoria do palmar,48.0,BR,1552018209.0,94.0,-33.52,-53.37,74.56,8.19
297,eidfjord,88.0,NO,1552017735.0,75.0,60.47,7.07,26.01,3.0
298,tautira,20.0,PF,1552017789.0,70.0,-17.73,-149.15,89.01,8.05
299,fairbanks,1.0,US,1552018112.0,85.0,64.84,-147.72,30.0,9.19
301,talara,32.0,PE,1552018210.0,76.0,-4.58,-81.27,74.65,4.5
303,hay river,20.0,CA,1552014000.0,61.0,60.82,-115.79,15.8,6.93
304,westport,92.0,IE,1552018207.0,86.0,53.8,-9.52,46.99,9.75
