,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
305,srednekolymsk,36.0,RU,1552018211.0,66.0,67.46,153.71,2.25,2.71
306,balkanabat,32.0,TM,1552018211.0,81.0,39.51,54.36,33.84,2.93
307,tuatapere,8.0,NZ,1552018207.0,50.0,-46.13,167.69,66.0,1.99
308,nuuk,56.0,GL,1552013400.0,88.0,64.17,-51.74,32.0,17.22
309,lagoa,0.0,PT,1552018028.0,87.0,37.14,-8.45,50.0,6.93
310,honiara,76.0,SB,1552018212.0,89.0,-9.43,159.96,79.78,2.93
312,thunder bay,5.0,CA,1552018101.0,65.0,48.41,-89.26,12.99,4.7
313,yaan,12.0,NG,1552018213.0,89.0,7.38,8.57,76.77,9.19
314,portree,0.0,GB,1552017678.0,79.0,57.41,-6.19,36.0,5.99
315,anamur,0.0,TR,1552013400.0,86.0,36.08,32.84,39.2,4.7
316,sistranda,75.0,NO,1552017677.0,86.0,63.73,8.83,28.99,2.24
317,auki,20.0,NG,1552018214.0,86.0,12.18,6.51,66.82,4.94
318,mehamn,90.0,NO,1552017000.0,78.0,71.03,27.85,17.6,9.17
319,tefe,44.0,BR,1552018172.0,98.0,-3.35,-64.71,75.24,3.04
320,half moon bay,75.0,US,1552018215.0,66.0,37.46,-122.43,51.01,9.17
321,perth,0.0,GB,1552018049.0,80.0,56.4,-3.43,34.0,6.93
322,mayo,40.0,CA,1552014000.0,65.0,63.59,-135.9,6.8,2.71
323,cherskiy,44.0,RU,1552018216.0,68.0,68.75,161.3,1.84,1.36
324,chernyshevskiy,44.0,RU,1552018216.0,72.0,63.01,112.47,11.92,7.96
325,kenora,1.0,CA,1552017770.0,71.0,49.76,-94.48,6.8,4.7
326,eureka,1.0,US,1552018212.0,100.0,40.8,-124.16,46.99,10.42
327,copiapo,0.0,CL,1552014000.0,77.0,-27.37,-70.33,62.6,5.82
329,thinadhoo,0.0,MV,1552018218.0,100.0,0.53,72.93,82.57,4.16
330,cangzhou,8.0,CN,1552018218.0,80.0,38.3,116.85,49.36,11.21
331,cockburn town,76.0,TC,1552018207.0,100.0,21.46,-71.14,74.2,20.71
332,roros,92.0,NO,1552017000.0,85.0,62.57,11.38,21.2,12.75
333,hami,0.0,CN,1552018218.0,59.0,42.84,93.51,43.02,0.92
334,oranjemund,0.0,ZA,1552018219.0,93.0,-28.55,16.43,63.9,24.29
335,bambous virieux,40.0,MU,1552018143.0,83.0,-20.34,57.76,81.0,6.93
336,koumac,48.0,NC,1552018219.0,75.0,-20.56,164.28,83.52,3.38
337,broken hill,0.0,AU,1552014000.0,9.0,-31.97,141.45,84.2,3.36
338,faanui,76.0,PF,1552018220.0,95.0,-16.48,-151.75,85.45,18.03
339,poum,20.0,MK,1552018220.0,73.0,41.28,20.71,29.38,1.92
340,muroto,20.0,JP,1552014000.0,24.0,33.37,134.14,55.4,16.11
341,los llanos de aridane,48.0,ES,1552017673.0,88.0,28.66,-17.92,62.6,18.34
342,kruisfontein,100.0,ZA,1552018220.0,100.0,-34.0,24.73,64.75,14.79
343,klaksvik,56.0,FO,1552017000.0,79.0,62.23,-6.59,26.6,13.22
344,kaeo,92.0,NZ,1552018084.0,94.0,-35.1,173.78,64.99,5.99
345,serebryansk,20.0,KZ,1552018221.0,75.0,49.68,83.3,17.95,2.15
346,juegang,8.0,CN,1552018037.0,55.0,32.31,121.18,55.0,1.01
347,beloha,0.0,MG,1552018222.0,81.0,-25.17,45.06,72.31,9.75
348,lekoni,56.0,GA,1552018222.0,94.0,-1.58,14.26,70.06,3.71
349,natal,75.0,BR,1552014000.0,88.0,-5.81,-35.21,78.8,4.7
350,vestmannaeyjar,0.0,IS,1552018131.0,100.0,63.44,-20.27,33.88,27.87
351,toamasina,40.0,MG,1552014000.0,100.0,-18.17,49.38,73.4,4.7
352,mulchen,0.0,CL,1552017961.0,89.0,-37.72,-72.23,47.07,4.94
353,lishui,88.0,CN,1552018223.0,50.0,28.45,119.91,47.83,2.59
354,umm lajj,0.0,SA,1552018223.0,100.0,25.02,37.27,56.65,7.4
355,kamenka,64.0,RU,1552018224.0,82.0,53.19,44.05,13.09,13.67
356,khani,75.0,GE,1552017600.0,93.0,41.96,42.96,44.6,5.82
357,sinegorye,0.0,RU,1552018224.0,83.0,62.09,150.53,4.81,2.71
358,sabang,80.0,PH,1552018224.0,87.0,13.72,123.58,79.2,6.62
359,linxia,88.0,CN,1552017985.0,78.0,35.6,103.21,27.13,3.38
361,fort-shevchenko,56.0,KZ,1552018225.0,100.0,44.51,50.26,35.23,15.79
362,liwale,68.0,TZ,1552018225.0,96.0,-9.8,37.92,69.43,2.37
363,tselinnoye,8.0,UA,1552018225.0,82.0,45.9,34.18,34.51,6.51
364,diffa,8.0,NE,1552018225.0,24.0,13.32,12.61,71.64,10.09
365,chiredzi,48.0,ZW,1552018226.0,96.0,-21.05,31.67,70.06,3.71
366,babushkin,12.0,RU,1552018226.0,88.0,51.72,105.86,21.15,6.62
367,cartaya,0.0,ES,1552018226.0,99.0,37.28,-7.16,50.89,15.57
368,talavera,75.0,PH,1552017600.0,52.0,15.58,120.92,89.6,4.7
369,havoysund,20.0,NO,1552017000.0,85.0,71.0,24.66,12.2,11.41
370,fare,92.0,PF,1552018227.0,94.0,-16.7,-151.02,85.45,17.81
371,katsuura,40.0,JP,1552017284.0,39.0,33.93,134.5,50.0,13.87
372,redmond,90.0,US,1552018224.0,93.0,47.67,-122.12,41.0,9.17
375,tilichiki,8.0,RU,1552018228.0,84.0,60.47,166.1,19.03,4.38
377,petropavlovsk-kamchatskiy,75.0,RU,1552015800.0,91.0,53.05,158.65,32.0,3.15
378,severo-yeniseyskiy,88.0,RU,1552018071.0,75.0,60.37,93.04,27.72,8.41
379,ceres,48.0,AR,1552018228.0,96.0,-29.88,-61.95,70.74,3.04
380,hovd,75.0,NO,1552018217.0,92.0,63.83,10.7,28.99,9.17
381,develi,0.0,TR,1552015200.0,92.0,38.39,35.49,23.0,5.82
382,tezu,100.0,IN,1552018229.0,100.0,27.93,96.16,47.65,1.03
383,teya,5.0,MX,1552017609.0,64.0,21.05,-89.07,75.2,11.41
384,calama,0.0,CL,1552017600.0,50.0,-22.46,-68.93,53.6,12.75
385,port augusta,36.0,AU,1552017711.0,26.0,-32.49,137.76,89.6,11.41
386,naze,8.0,NG,1552018230.0,93.0,5.43,7.07,73.75,5.61
387,chokurdakh,36.0,RU,1552017970.0,74.0,70.62,147.9,-11.48,3.6
388,sorong,88.0,ID,1552018230.0,100.0,-0.86,131.25,80.55,4.5
389,ambulu,88.0,ID,1552018230.0,100.0,-8.35,113.61,80.95,14.56
390,maceio,75.0,BR,1552017600.0,83.0,-9.67,-35.74,77.0,4.7
391,cabedelo,40.0,BR,1552014000.0,94.0,-6.97,-34.84,77.0,3.36
392,herat,20.0,AF,1552017300.0,75.0,34.35,62.22,46.4,2.24
393,petauke,92.0,ZM,1552018231.0,97.0,-14.25,31.33,66.24,3.04
394,morros,75.0,BR,1552017600.0,94.0,-2.87,-44.04,77.0,5.82
395,solnechnyy,0.0,RU,1552018232.0,76.0,50.72,136.64,29.92,3.6
396,erenhot,80.0,CN,1552018232.0,70.0,43.65,111.97,38.83,10.54
397,pallasovka,0.0,RU,1552018232.0,60.0,50.04,46.89,2.02,5.06
398,bethel,90.0,US,1552017360.0,74.0,60.79,-161.76,35.6,6.93
399,nhulunbuy,20.0,AU,1552014000.0,62.0,-12.18,136.78,89.6,13.87
401,akureyri,0.0,IS,1552014000.0,84.0,65.68,-18.09,5.0,3.36
403,verkhnevilyuysk,56.0,RU,1552018233.0,61.0,63.45,120.31,16.15,7.52
404,tabas,0.0,IR,1552017600.0,32.0,33.6,56.92,51.8,2.24
406,laguna,64.0,MX,1552018234.0,54.0,27.52,-110.01,70.96,2.15
407,esperance,40.0,TT,1552017907.0,88.0,10.24,-61.45,79.0,5.82
408,redlands,90.0,US,1552018234.0,93.0,34.06,-117.19,57.2,5.82
409,borovoy,76.0,RU,1552018235.0,82.0,63.23,52.89,17.1,9.64
410,riviere-au-renard,5.0,CA,1552014000.0,59.0,49.0,-64.4,3.2,10.29
412,sumenep,48.0,ID,1552018236.0,99.0,-7.02,113.87,82.48,4.94
413,ulvik,88.0,NO,1552017735.0,75.0,60.57,6.92,36.0,3.0
414,veshenskaya,12.0,RU,1552018236.0,75.0,49.63,41.73,13.5,9.53
415,smidovich,0.0,RU,1552018236.0,27.0,48.6,133.81,41.35,4.38
416,impfondo,48.0,CD,1552018236.0,97.0,1.62,18.06,69.07,2.59
417,kavaratti,0.0,IN,1552018237.0,100.0,10.57,72.64,81.13,5.95
418,mwene-ditu,92.0,CD,1552018237.0,98.0,-7.01,23.45,65.92,6.73
419,ceyhan,0.0,TR,1552017000.0,60.0,37.03,35.82,44.6,5.17
420,sapa,20.0,PH,1552018089.0,52.0,14.32,120.76,89.6,13.87
421,gurupi,64.0,BR,1552018237.0,90.0,-11.73,-49.07,74.2,2.71
422,sengiley,12.0,RU,1552017600.0,72.0,53.96,48.79,10.4,8.95
423,viedma,0.0,AR,1552018238.0,65.0,-40.81,-62.99,56.34,13.56
424,tungor,0.0,RU,1552018238.0,100.0,53.39,142.95,19.62,9.75
425,san borja,64.0,BO,1552018238.0,92.0,-14.86,-66.75,76.09,1.59
426,comodoro rivadavia,0.0,AR,1552017600.0,50.0,-45.87,-67.48,53.6,5.82
427,caravelas,20.0,BR,1552018239.0,100.0,-17.73,-39.27,83.97,6.4
428,pangody,76.0,RU,1552018239.0,86.0,65.85,74.49,8.14,22.62
429,saint-leu,0.0,RE,1552017944.0,65.0,-21.15,55.28,82.0,4.7
430,rabo de peixe,40.0,PT,1552018231.0,100.0,37.8,-25.58,59.0,6.93
431,baruun-urt,48.0,MN,1552018240.0,37.0,46.68,113.28,36.45,7.4
432,ginir,20.0,ET,1552018241.0,69.0,7.14,40.71,58.45,2.93
433,ningxiang,90.0,CN,1552014000.0,87.0,28.28,112.55,48.2,2.24
434,karwar,0.0,IN,1552018241.0,63.0,14.8,74.13,72.49,1.92
435,jiazi,75.0,CN,1552014000.0,83.0,19.61,110.49,77.0,8.95
436,la ronge,5.0,CA,1552014000.0,77.0,55.1,-105.3,-2.21,2.24
437,faya,0.0,SA,1552014000.0,87.0,18.39,42.45,53.6,9.17
438,narsaq,68.0,GL,1552018242.0,77.0,60.91,-46.05,23.62,13.22
439,verkh-usugli,0.0,RU,1552018242.0,49.0,52.7,115.17,22.5,8.08
440,bandarbeyla,92.0,SO,1552018243.0,100.0,9.49,50.81,77.35,9.64
442,batan,80.0,ID,1552018243.0,79.0,-7.54,110.71,78.61,5.06
443,banjar,76.0,ID,1552018243.0,68.0,-7.37,108.54,83.2,3.49
444,mnogovershinnyy,24.0,RU,1552018243.0,65.0,53.94,139.92,26.37,3.94
445,deputatskiy,44.0,RU,1552018243.0,82.0,69.3,139.9,8.14,3.49
448,praia,0.0,BR,1552014000.0,73.0,-20.25,-43.81,71.6,5.82
449,alakurtti,44.0,RU,1552018244.0,66.0,66.96,30.34,-1.67,2.37
450,shumikha,0.0,RU,1552018244.0,81.0,55.23,63.28,7.96,9.75
451,cayenne,0.0,GF,1552014000.0,88.0,4.94,-52.33,75.2,4.7
452,taguatinga,0.0,BR,1552014000.0,94.0,-15.83,-48.06,68.0,1.12
453,maumere,88.0,ID,1552018245.0,100.0,-8.63,122.22,82.17,6.17
454,adrar,0.0,DZ,1552014000.0,10.0,27.87,-0.29,64.4,9.17
455,mattawa,5.0,CA,1552018216.0,77.0,46.32,-78.7,6.01,9.17
456,alofi,75.0,NU,1552014000.0,70.0,-19.06,-169.92,84.2,11.41
457,foumbot,76.0,CM,1552018246.0,93.0,5.51,10.64,66.73,4.61
458,gazanjyk,24.0,TM,1552018246.0,74.0,39.24,55.52,39.19,5.61
460,ishigaki,75.0,JP,1552014000.0,82.0,24.34,124.16,66.2,18.34
461,rock springs,90.0,US,1552013640.0,86.0,41.59,-109.2,30.2,8.05
462,abha,0.0,SA,1552014000.0,87.0,18.22,42.5,53.6,9.17
463,langelsheim,88.0,DE,1552018216.0,71.0,51.94,10.33,48.0,8.99
464,georgiyevka,80.0,RU,1552018247.0,90.0,52.25,40.45,19.21,15.12
465,shiyan,80.0,CN,1552018248.0,51.0,32.65,110.78,43.24,2.71
467,mahebourg,40.0,MU,1552018143.0,83.0,-20.41,57.7,81.0,6.93
468,freeport,36.0,BS,1552018175.0,100.0,26.54,-78.7,70.74,16.02
469,tura,0.0,IN,1552018249.0,64.0,25.52,90.21,67.77,2.93
470,praesto,92.0,DK,1552018146.0,93.0,55.12,12.06,43.0,20.8
471,praya,92.0,ID,1552018249.0,100.0,-8.71,116.27,78.97,8.75
472,mwanza,40.0,TZ,1552014000.0,88.0,-2.52,32.9,69.8,7.4
473,xichang,0.0,CN,1552018249.0,53.0,27.88,102.25,52.96,1.92
474,baiao,92.0,BR,1552018038.0,98.0,-2.79,-49.67,74.52,2.04
475,beyneu,100.0,KZ,1552018250.0,88.0,45.32,55.19,35.55,3.49
476,sur,0.0,OM,1552018250.0,100.0,22.57,59.53,69.43,16.13
477,kyela,36.0,MW,1552018250.0,90.0,-9.6,33.87,62.19,2.15
478,port hardy,20.0,CA,1552014000.0,74.0,50.7,-127.42,33.8,8.05
479,puerto escondido,5.0,MX,1552016400.0,74.0,15.86,-97.07,80.6,6.17
480,camiri,88.0,BO,1552018251.0,61.0,-20.04,-63.52,75.28,7.96
481,noumea,56.0,NC,1552017600.0,70.0,-22.28,166.46,86.0,10.29
482,diourbel,0.0,SN,1552014000.0,73.0,14.65,-16.23,71.6,11.41
484,requena,0.0,ES,1552018229.0,92.0,39.49,-1.1,50.0,5.82
485,houma,88.0,CN,1552018252.0,48.0,35.63,111.36,41.62,5.06
487,porto novo,20.0,BR,1552017600.0,100.0,-23.68,-45.44,69.8,3.04
488,pekan,75.0,MY,1552014000.0,79.0,3.49,103.39,84.2,2.24
489,iqaluit,5.0,CA,1552017172.0,76.0,63.75,-68.52,-9.01,27.51
490,danielskuil,44.0,ZA,1552018253.0,42.0,-28.19,23.54,62.37,7.18
491,aykhal,68.0,RU,1552018253.0,73.0,65.95,111.51,8.95,7.52
492,timoteo,56.0,BR,1552018185.0,93.0,-19.58,-42.64,72.94,4.38
494,paso de los toros,92.0,UY,1552018254.0,98.0,-32.81,-56.52,69.25,5.5
495,lira,64.0,UG,1552018255.0,93.0,2.25,32.9,63.13,2.93
496,soyo,24.0,AO,1552018255.0,97.0,-6.13,12.37,76.0,3.04
497,altay,0.0,CN,1552018255.0,68.0,47.83,88.13,17.1,3.49
498,montepulciano,0.0,IT,1552018212.0,87.0,43.09,11.78,51.8,6.93
499,upata,12.0,VE,1552018257.0,57.0,8.02,-62.41,79.02,9.53
500,yairipok,75.0,IN,1552017600.0,68.0,24.67,94.07,64.4,5.82
501,anqing,48.0,CN,1552018258.0,83.0,30.51,117.04,48.46,8.08
502,kavieng,80.0,PG,1552017962.0,100.0,-2.57,150.8,81.22,1.92
503,kaliua,0.0,TZ,1552018258.0,94.0,-5.06,31.79,61.65,2.37
505,san vicente,20.0,SV,1552018236.0,69.0,13.64,-88.78,82.4,2.24
506,kolobrzeg,0.0,PL,1552018243.0,76.0,54.18,15.58,43.0,21.5
507,bastia,0.0,IT,1552018227.0,92.0,44.6,8.98,48.0,5.61
508,coos bay,1.0,US,1552017928.0,100.0,43.37,-124.22,41.0,6.93
509,quelimane,75.0,MZ,1552014000.0,88.0,-17.88,36.89,75.2,9.17
510,khorol,92.0,UA,1552018261.0,86.0,49.78,33.27,37.03,15.68
511,rauma,92.0,FI,1552017000.0,100.0,61.13,21.5,33.8,10.29
513,zabol,0.0,IR,1552017600.0,57.0,31.03,61.49,51.8,4.7
515,inhambane,32.0,MZ,1552018262.0,100.0,-23.87,35.38,75.24,4.72
516,garden city,1.0,US,1552018208.0,42.0,40.73,-73.63,28.99,4.94
517,dingle,0.0,PH,1552018263.0,49.0,11.0,122.67,86.22,12.1
518,high level,5.0,CA,1552014000.0,66.0,58.52,-117.13,12.2,3.71
519,calatayud,44.0,ES,1552017669.0,75.0,41.35,-1.64,44.6,3.36
520,rognan,75.0,NO,1552017642.0,68.0,67.1,15.4,28.4,19.46
521,kabinda,92.0,CD,1552018264.0,98.0,-6.14,24.49,66.19,12.55
523,karratha,24.0,AU,1552018205.0,31.0,-20.74,116.85,97.51,4.61
524,ucluelet,44.0,CA,1552018226.0,90.0,48.94,-125.55,34.0,1.48
525,pangoa,12.0,PE,1552018264.0,98.0,-12.12,-73.0,66.91,1.59
526,geraldton,20.0,CA,1552014000.0,51.0,49.72,-86.95,12.2,8.05
527,ugoofaaru,8.0,MV,1552018265.0,100.0,5.67,73.0,82.35,3.6
528,nizwa,0.0,OM,1552018265.0,80.0,22.93,57.53,45.45,3.49
529,alvorada,75.0,BR,1552018224.0,83.0,-30.0,-51.08,75.2,2.24
530,azanka,0.0,RU,1552018265.0,69.0,58.04,64.79,13.77,8.75
531,aklavik,90.0,CA,1552014000.0,85.0,68.22,-135.01,23.0,6.93
532,gamba,0.0,CN,1552018266.0,87.0,28.28,88.52,9.31,4.94
533,norman wells,75.0,CA,1552014000.0,61.0,65.28,-126.83,17.6,3.36
534,scarborough,0.0,GB,1552018143.0,89.0,54.28,-0.41,37.99,9.17
535,dholka,0.0,IN,1552017600.0,56.0,22.73,72.44,73.4,8.05
536,urucara,64.0,BR,1552018267.0,94.0,-2.54,-57.76,75.73,2.93
537,tomohon,40.0,ID,1552015800.0,62.0,1.33,124.84,84.2,2.24
538,shache,12.0,CN,1552017896.0,58.0,38.42,77.24,30.99,5.17
539,leninogorsk,8.0,RU,1552018267.0,78.0,54.6,52.45,8.64,6.51
540,castelbuono,24.0,IT,1552018240.0,34.0,37.93,14.09,64.0,4.0
542,port lincoln,36.0,AU,1552018268.0,74.0,-34.72,135.86,71.95,4.16
543,escarcega,44.0,MX,1552018137.0,52.0,18.61,-90.75,82.84,4.72
544,bourail,100.0,NC,1552018268.0,64.0,-21.57,165.5,83.92,4.61
545,manjacaze,32.0,MZ,1552018268.0,92.0,-24.71,33.88,69.84,3.49
546,emerald,75.0,AU,1552018024.0,46.0,-23.53,148.16,90.0,16.11
548,lagos,0.0,NG,1552018254.0,95.0,6.46,3.39,79.6,6.4
549,bilibino,56.0,RU,1552018269.0,84.0,68.06,166.44,11.38,3.04
550,baraboo,1.0,US,1552017993.0,77.0,43.47,-89.74,12.99,6.51
551,poltavka,0.0,RU,1552018269.0,80.0,54.36,71.76,15.3,8.41
552,njombe,20.0,TZ,1552018269.0,82.0,-9.34,34.77,56.47,2.59
553,san rafael,0.0,AR,1552018270.0,60.0,-34.61,-68.33,58.99,6.51
554,methoni,0.0,GR,1552018243.0,93.0,36.82,21.7,52.0,6.51
555,manggar,24.0,ID,1552018270.0,93.0,-2.88,108.27,85.72,4.38
556,nara,40.0,JP,1552017888.0,37.0,34.68,135.8,55.99,8.05
557,saint anthony,75.0,US,1552018220.0,86.0,43.97,-111.68,37.4,9.17
558,nurota,0.0,UZ,1552015800.0,80.0,40.56,65.69,39.2,6.93
559,madaoua,68.0,NE,1552018271.0,42.0,14.07,5.96,75.1,4.72
560,nizhnyaya tavda,0.0,RU,1552018272.0,73.0,57.67,66.17,10.35,11.65
561,arrifes,40.0,PT,1552018231.0,100.0,37.77,-25.7,59.0,6.93
562,lumby,75.0,CA,1552017628.0,74.0,50.25,-118.97,33.8,13.87
564,watsa,0.0,CD,1552018272.0,90.0,3.04,29.53,62.68,2.59
565,san ramon,76.0,NI,1552018090.0,87.0,12.92,-85.84,66.99,5.99
566,anzio,0.0,IT,1552018264.0,87.0,41.45,12.63,57.0,1.12
567,ventspils,0.0,LV,1552015200.0,93.0,57.39,21.56,39.2,10.29
568,gat,0.0,SN,1552015800.0,77.0,14.69,-16.54,64.4,21.92
569,kirkwall,48.0,GB,1552017000.0,74.0,58.98,-2.96,37.4,6.93
570,talnakh,88.0,RU,1552018274.0,87.0,69.49,88.39,23.44,8.19
571,kahului,75.0,US,1552017737.0,69.0,20.89,-156.47,73.4,14.99
572,touros,40.0,BR,1552014000.0,94.0,-5.2,-35.46,77.0,3.36
573,daugavpils,36.0,LV,1552018274.0,88.0,55.88,26.53,41.94,13.78
574,bela,0.0,PK,1552018274.0,84.0,26.23,66.31,52.6,2.93
576,bambanglipuro,92.0,ID,1552018275.0,89.0,-7.95,110.28,80.1,4.5
577,makiyivka,32.0,UA,1552018275.0,88.0,48.05,37.93,32.98,9.42
578,maragogi,80.0,BR,1552018275.0,100.0,-9.01,-35.22,75.73,4.61
580,banda aceh,0.0,ID,1552018276.0,78.0,5.56,95.32,82.75,4.72
581,margate,75.0,AU,1552018039.0,35.0,-43.03,147.26,71.6,11.41
582,mahon,75.0,IE,1552015800.0,93.0,51.89,-8.4,37.4,4.7
583,sunndalsora,88.0,NO,1552017000.0,89.0,62.68,8.55,32.0,19.46
584,lubbock,1.0,US,1552018057.0,33.0,33.58,-101.86,66.2,13.87
585,finnsnes,0.0,NO,1552017000.0,83.0,69.23,17.98,-13.01,12.75
586,port hedland,0.0,AU,1552017600.0,60.0,-20.31,118.58,96.8,17.22
587,batemans bay,12.0,AU,1552018203.0,42.0,-35.71,150.18,82.99,8.01
588,bridlington,36.0,GB,1552018269.0,98.0,54.08,-0.19,37.99,9.17
589,valparaiso,1.0,US,1552017964.0,85.0,41.47,-87.06,25.0,6.96
590,gizo,40.0,IL,1552018248.0,93.0,31.8,34.94,55.4,2.24
591,richards bay,12.0,ZA,1552018278.0,99.0,-28.77,32.06,69.34,2.04
592,yertsevo,92.0,RU,1552018278.0,89.0,60.8,40.09,26.77,15.79
593,namatanai,44.0,PG,1552018278.0,100.0,-3.66,152.44,83.38,1.59
594,meulaboh,12.0,ID,1552018278.0,100.0,4.14,96.13,81.9,3.49
595,huarmey,56.0,PE,1552018279.0,76.0,-10.07,-78.15,68.26,2.93
596,gasa,0.0,BT,1552018279.0,55.0,27.91,89.73,-1.49,2.37
597,pizhma,80.0,RU,1552018279.0,77.0,57.86,47.12,18.9,11.54
598,waingapu,88.0,ID,1552018136.0,99.0,-9.65,120.26,76.45,3.71
599,elizabeth city,75.0,US,1552018231.0,59.0,36.3,-76.22,39.99,1.36
600,dire dawa,44.0,ET,1552018280.0,89.0,9.59,41.86,57.87,2.59
601,borogontsy,68.0,RU,1552018280.0,74.0,62.67,131.17,11.52,4.05
602,manaus,0.0,BR,1552017600.0,83.0,-3.13,-59.98,78.8,5.82
